Домен	Тип товара	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID	Артикул
Мебель	Кресло руководителя		бежевый	кожа; дерево	премиум накладки	38400	s2_1	 
Мебель	Стеллаж для дисков	800х400х1200	чёрный	сталь	олимп	7400	s2_2	 
Мебель	Стеллаж консольный	2000х600х2500			1-сторонний нагр 500кг/п	18400	s2_3	 
Мебель	Верстак	1500х700х1800			с экран перфорированный под инструмент	22400	s2_4	 
Мебель	Картотека			металл	3 ящика А5 ключ	5800	s2_5	 
Мебель	Столик барный	600х600х1100	венге	ЛДСП; металл	высокий опора	4400	s2_6	 
Мебель	Стол письменный	2000х800х750	венге	ЛДСП	с надстр	17800	s2_7	 
Мебель	Тумба прикроватная	500х450х800	серый	металл	больничный	7100	s2_8	 
Мебель	Кресло для забора крови	800х650х1100	бежевый	винил		14700	s2_9	 
Мебель	Шкаф для одежды	800х500х1850	серый	ЛДСП	офисный штанга	9800	s2_10	 
Мебель	Кухонный модуль	800х300х720	белый	ЛДСП	офисный верхний	4400	s2_11	 
Мебель	Кресло геймерский		чёрный; серый	сетка	офисный регулируемый подголовник	15700	s2_12	 
Мебель	Стеллаж консольный	3000х800х2500			1-сторонний усиленный 600кг/п	24700	s2_13	 
Мебель	Шкаф для документов	800х400х750	серый		низкий полузакрытый	5400	s2_14	 
Мебель	Картотека			металл	2 ящика А5 ключ	3700	s2_15	 
Мебель	Подиум выставочный	500х500х500	чёрный	ЛДСП	квадратный	3400	s2_16	 
Мебель	Диван угловой		серый	рогожка	еврокн	42500	s2_17	 
Мебель	Стол письменный	1000х500х750	белый	ЛДСП	ученический компактный	4200	s2_18	 
Мебель	Подставка под				клавиат встр в стол выдвижной	1980	s2_19	 
Мебель	Стул обеденный		бежевый; бук	экокожа; дерево; бук	лак мягкое сиденье	2700	s2_20	 
Мебель	Светильник наст		чёрный		зажим ленточн	1180	s2_21	 
Мебель	Стол барный	700х1100	дуб	ЛДСП; металл; дуб	круглый опора	4700	s2_22	 
Мебель	Светильник настенный		серый; серебристый		бра 8Вт	1280	s2_23	 
Мебель	Кресло руководителя		чёрный	металл; экокожа	крестовина	13400	s2_24	 
Мебель	Шкафчик	600х450х720	серый		столовой под мойку	3400	s2_25	 
Мебель	Шкаф 3-дверный	1200х500х2100	дуб сонома	ЛДСП; дуб	распашной штанга+полки	19400	s2_26	 
Мебель	Сейф огнестойкий	800х600х600			90мин эл замок премиум	42400	s2_27	 
Мебель	Ресепшен гостевой	2400х2400х1150	венге	ЛДСП	угловой	64700	s2_28	 
Мебель	Кровать-софа	900х2000	дуб сонома	ЛДСП; дуб	односпальный 2 ящики	14500	s2_29	 
Мебель	Кушетка медицинский	1900х700х650	бежевый	винил	смотровой карк	10400	s2_30	 
Мебель	Верстак-стол	1200х600х850		ЛДСП; металл	комбинированный каркас 3 ящики	11700	s2_31	 
Мебель	Пуф	800х400х400	серый	рогожка	с ящиком	3400	s2_32	 
Мебель	Кронштейн				ТВ наст поворотн нагр 30кг	1450	s2_33	 
Мебель	Стол письменный	1100х900х750	венге	ЛДСП	угловой компактный	7900	s2_34	 
Мебель	Тумба офисный	1200х450х750	венге	ЛДСП	3-дверный	9800	s2_35	 
Мебель	Кровать односпальный	800х2000		дерево; сосна	масс лак	11200	s2_36	 
Мебель	Доска маркерн	1200х900		алюминий	магн алюминиевая рамка	2100	s2_37	 
Мебель	Кресло посетит		тёмно-серый	экокожа	на полозьях штабел	3400	s2_38	 
Мебель	Стул банкетный		бордо; хром	хром; ткань	штабел карк	1480	s2_39	 
Мебель	Кресло посетит		серый	металл; пластик	штабел металлические ножки	1700	s2_40	 
Мебель	Шкаф для инструмент	1200х500х1950			створк перфор	27400	s2_41	 
Мебель	Стеллаж для гантелей	2000х500х750		сталь	2-ярус 3мм	14800	s2_42	 
Мебель	Скамья	1500х400х450		металл; дерево	парков без спинки дерев планк	6400	s2_43	 
Мебель	Урна			металл	уличн раздельн сбор 2-секционный 60л оцинк	9800	s2_44	 
Мебель	Стул банкетный		серый; хром	хром; ткань	штабел карк	1480	s2_45	 
Мебель	Кресло операторск		серый	ткань; пластик	антистат крест	4400	s2_46	 
Мебель	Шкаф для одежды	800х800х1950	серый	ЛДСП	офисный угловой	15400	s2_47	 
Мебель	Стеллаж нержав	1000х500х1800			сетч овощехр SS	28400	s2_48	 
Мебель	Стол операторск	1400х600х750	серый	ЛДСП	бенч-карк	7400	s2_49	 
Мебель	Шкаф архивный	1200х450х1950	серый		усиленный 2-дверный ключ	22400	s2_50	 
Мебель	Стеллаж паллетн	2700х1000х4000			с настилом нагр 500кг	26400	s2_51	 
Мебель	Светильник потолочный				накладки лин 600 18Вт	680	s2_52	 
Мебель	Барная	1200х450х1050	серый	ЛДСП	стойка дом компактный	9700	s2_53	 
Мебель	Стул		коричневый	экокожа	конферен с пюпитром	3650	s2_54	 
Мебель	Стол ресторан	2400х800х750	венге	ЛДСП	длин карк	14400	s2_55	 
Мебель	Сейф оружейн	250х200х1200			ключ	4800	s2_56	 
Мебель	Стол угловой	1500х1200х750	венге	ЛДСП	с надстр	13900	s2_57	 
Мебель	Кухонный модуль	600х600х820		ЛДСП	офисный под холод	5400	s2_58	 
Мебель	Шкаф для документов	800х400х1150			средн со створк +полк	7400	s2_59	 
Мебель	Стойка		хром	хром	инфузион напольн рег выс 4 крюк	2700	s2_60	 
Мебель	Стол-приставка	800х600х750	серый	ЛДСП	к рабоч станц	3200	s2_61	 
Мебель	Кушетка медицинский	1900х700х650	белый	экокожа	смотровой карк	11800	s2_62	 
Мебель	Урна			металл	уличн 50л чугун опорн на бетон	5700	s2_63	 
Мебель	Перегор	1200х1500х1800		ЛДСП	санитарн кабина в сборе	19800	s2_64	 
Мебель	Стол лаб	1500х750х900	серый	ЛДСП	пристен тумб	15400	s2_65	 
Мебель	Контейнер	1200х800х800		металл	складн нагр 500кг	11400	s2_66	 
Мебель	Витрина музейн	1200х600х900			горизонтальный замок	32700	s2_67	 
Мебель	Стеллаж	1000х400х2200		металл	для архива 5 пол А4	9800	s2_68	 
Мебель	Стеновая	600х600		дерево	панель акуст дерев шпон шумоизол	3200	s2_69	 
Мебель	Кресло офисный		хром	хром; сетка	оператора синяя крест	4900	s2_70	 
Мебель	Шкаф медицинский	900х450х1950	белый	металл	2-секционный ключ	16800	s2_71	 
Мебель	Стеллаж гараж	1200х500х2000			усиленный нагр 250кг/п 5 пол	8400	s2_72	 
Мебель	Перегородка офисный	1400х40х1500		ткань; стекло	стационарный ткань-стекло	6800	s2_73	 
