product_name;price_rub
Тумба под умывальник «Орхидея» 60×45×60 подвесная, белый патина с цветами;15700
Диван-кушетка «Кокон» 1-местная, рогожка пудровая;19400
Полутораспальная кровать «Камелия» 120×200, велюр цвет пудра, изголовье каретка;28900
Кресло-мешок «Кокон» круг XXL, велюр серый;5900
Шкаф для прихожей пенал «Стокгольм» 50×30×210, дуб артизан;9700
Стoл обеденный «Турин» 160×90 раздвижной, шпон ореха;38700
Журнальный столик «Палаццо» овальный 110×60, мрамор каррара/чёрный металл;33800
Кресло-реклайнер «Премьер» механический с подножкой, ткань велюр графит;34800
Диван угловой «Лофт» с механизмом дельфин, экокожа чёрная;44900
Шкаф детский «Школьник» 2-секционный с полками, бирюзовый/белый;14200
Зеркало-трюмо отдельностоящее в раме с подсветкой, 60×80;13800
Стул «Виндзор» из массива бука, лак натуральный, классический;4800
Кресло подвесное «Качели» swing chair на стойке, ротанг искусственный, белое;28400
Зеркало с подсветкой «Лазурь» прямоугольное 90×70, антипар, регулировка тeмпературы света;13700
Туалетный столик «Карина» с подсветкой зеркала, 90×45, белый матовый;19700
Стол журнальный «Минск» 80×50×45 ЛДСП дуб сонома, эконом;90
Сервант с подсветкой «Камелия» 140×45×185, белый с золотой патиной, стеклянные дверцы;48700
Стул барный «Минск» эконом, сиденье ЛДСП на крестовине, регулируемая высота;2900
Зеркало-трюмо «Камелия» с откидным зеркалом, 80×40×40, белый/розовая пудра;19700
Кровать «Альфа» 160×200 с подъёмным механизмом, белый чёрный венге;34800
Диван-канапе «Лион» 2-местный, велюр изумрудный, ножки золото;48700
Стол обеденный «Лофт» 180×80 на металлокаркасе, дуб артизан;28400
Банкетка длинная «Лион» 180×40×45, велюр графит, ножки металл чёрный;14700
Тумба прикроватная с 1 ящиком 40×35×50, ЛДСП дуб сонома;3400
Вешалка-стойка «Альпы» напольная с обувницей, металл чёрный 50×30×170;6800
Кресло-реклайнер «Стокгольм» с пуфом, ткань велюр серый меланж;26800
Картина-постер «Северянин» 60×80 «Карелия», багет дуб;3400
Диван прямой «Стокгольм» 180×85 раскладной книжка, рогожка серая, скандинавский стиль;28900
Кровать «Орхидея» 160×200 двуспальная ЛДСП с подъёмным механизмом, цвет графит;27500
Стеллаж многоуровневый «Лофт» 150×30×220 6 полок, металл чёрный/дуб;12700
Туалетный столик «Ариэль» 100×40×140 с зеркалом и подсветкой LED, шампань;22800
Шкаф-купе «Стокгольм» 220×60×220 3-дверный с зеркалом, дуб артизан;51400
Кровать с тумбами в изголовье «Атлант» 180×200, ЛДСП венге, мягкая вставка экокожа;42800
Стол кухонный стеклянный «Модерн» 110×70, прозрачный/чёрный;9400
Диван прямой 3-местный «Норд» велюр горчичный;42700
Скульптура декоративная «Тоскана» абстракция, керамика белая, 35 см;3700
Диван-канапе «Орхидея» 2-местный с резьбой, гобелен флор, ножки золото патина;58400
Покрывало летнее «Тюльпан» 240×260 пике, светло-зелёный;5200
Комод «Парма» 6-ящичный широкий 120×45×90, дуб артизан;24700
Стол угловой компьютерный 150×120 ЛДСП венге с надстройкой;13700
Стилный диван «Линкольн» 240×95 еврокнижка, велюр оливковый;48700
Шкаф-витрина «Аделаида» классика, 90×40×200, массив сосны состаренный белый;37900
Книжный шкаф подвесной «Лофт» 100×25×80, металл чёрный + дуб;7400
Кресло-реклайнер «Лион» с механизмом качания, ткань рогожка графит;32700
Корзина для белья «Венето» плетёная с тканевым мешком, 40×30×60, серый;3700
Журнальный столик «Палермо» прямоугольный 100×55, мрамор каррара/чёрный металл;26700
Журнальный столик мраморный «Орбита» прямоугольный 100×55, серый мрамор/чёрный металл;32400
Подставка под монитор «Лофт» бамбук, с ящиком и USB-хабом;3400
Торшер с полкой «Кокон», 3 светильника, латунь/дерево;9700
Скатерть фуршетная «Премиум» 320×180 атлас белый с золотой каймой;3400
Двуспальная кровать «Дакота» 180×200, изголовье каретная стяжка, серый;46500
Кровать;28400
Стеллаж угловой 5-уровневый «Премиум» 70×70×210, орех с латунью;14200
Стул банкетный «Шиавари» белый с подушкой бархат, для торжеств, штабелируемый;4200
Зеркало-трюмо «Версаль» 90×40×175 с подсветкой и тумбой, классика орех патина;36400
Сервант «Версаль» классический 120×45×190, орех с золотой патиной;47800
Шкаф-горка «Бергамо» с подсветкой 280 см, белый матовый/дуб артизан;48700
Зеркало навесное «Аметист» овальное 60×100 в раме барокко;7400
Кресло «Болонья» офисное руководительское, кожа коричневая, металл хром;22400
Диван «Венеция» классический 3-местный, гобелен, бук;52400
Кровать «Аврора» 160×200 мягкое изголовье капитоне, велюр пудровый;36800
Кухонный стол-трансформер «Прага» 90×60 раздвижной до 140, белый;11800
Декоративный глобус «Тоскана» 30×30×40, дерево/металл, ретро-стиль;4400
Шкаф пенал узкий «Стокгольм» 40×40×210, ясень светлый, скандинавский;14700
Картина модульная триптих «Город» 3×40×80, ночной мегаполис, холст;5400
Кресло «Будапешт» классическое с резными ножками, велюр графит;850000
Зеркало-трюмо «Аделаида» с пуфом-табуретом, 80×40×160, бук бавария;24700
Двуспальная кровать «Модерн» 180×200, экокожа белая, ортопед. основание;44200
Шкаф-горка в гостиную «Контур» 280×40×195, белый глянец/венге;48700
Шкаф балконный «Веранда» угловой 70×70×180, белый/венге, реечные дверцы;13700
Диван-канапе «Версаль» 2-местный, бархат бордовый с золотыми кистями, ножки резные;58700
Зеркало с подсветкой «Полярная» круглое D80, рама латунь;11400
Подсвечник напольный «Версаль» кованый, 70 см, бронза;3800
Ваза напольная «Гера» керамика 80 см, чёрный матовый с серебряным орнаментом;8700
Комод узкий «Эконом» 40×40×100, белый;5300
Банкетка длинная «Стокгольм» 150×40×45, рогожка молочная, ножки бук;11700
Кресло-папасан «Бали» ротанг натуральный, подушка велюр горчичный, D110;18700
Журнальный столик мраморный «Орхидея» овальный 100×55, мрамор каррара/латунь;34800
Зеркало с LED-подсветкой «Сиена» 80×60, антипар, сенсорный выключатель;9700
Банкетка длинная «Лион» 200×40×45, рогожка серая, ножки металл чёрный;15800
Двухъярусная кровать «Дуэт» 90×200 с диваном внизу, серый/голубой;36400
Стеллаж лестница «Прага», 5 полок, белый/натуральный;5200
Диван детский раскладной «Малыш» 140×80, ткань с принтом машинки, ящик;14200
Потолочный светильник «Модерн» LED тарелка D40, белый, пульт;5700
Зеркало напольное «Лагуна» 50×170, рама металл латунь;13400
Зеркало-трюмо в полный рост 50×170, рама латунь;11200
Сервант с подсветкой «Тоскана» 140×45×185, массив дуба, состаренный натуральный;58400
Кpecлo Lounge «Палаццо» полукруглое, бархат пыльно-розовый, ножки массив;33700
Картина-триптих «Северянин» 3×40×80 «Туман над озером»;6900
Кровать-бокс «Авангард» 90×200 с матрасом и ящиком, рогожка графит;26800
Диван-аккордеон «Триумф» 200×90 ортопедический, велюр изумрудный, на пружинах;47800
Складной стул для балкона «Капри», алюминий + текстилен, бирюзовый;3200
Кресло геймерское «Дакота» с подушкой под шею, чёрно-красный;15800
Банкетка длинная «Версаль» 180×40×50, экокожа белая, ножки хром;18400
Складной столик «Капри» приставной 40×40×60, ротанг искусственный;2700
Диван-канапе «Камелия» полутораместный, бархат пыльно-розовый, ножки золото;42800
Стул-кресло «Патио» для балкoна, ротанг искусственный, с подушкой беж;4700
Барная стойка кухонная «Милан» 240×60×110, мрамор каррара искусственный, бар;87400
Двуспальная кровать «Прага» 140×200, мягкое изголовье велюр, пыльно-розовый;29900
Подушка декоративная 45×45, вышивка цветок, лён натуральный;1400
Кресло ушастое «Камелот» с подушкой, велюр графит, ножки массив бука;38900
Зеркало-трюмо «Полярная» с подсветкой LED и сенсором, 70×40×155, белый матовый;26700
Барный стул «Лофт» на металлокаркасе, сиденье дерево;4700
Шкаф для одежды «Феникс» подростковый 2-дверный, голубой/белый, 90×55×210;17800
Багажная полка гостиничная складная, ясень, металл хром, 60×40×50;3700
Журнальница «Тоскана» напольная плетёная, ротанг, 40×30×35;2900
Двуспальная кровать «Малибу» 200×200 king-size, бархат изумрудный;67900
Стол обеденный круглый «Тоскана» D120 раздвижной до 150, массив дуба;47800
Сервант «Тоскана-Lux» 180×45×210 с подсветкой LED, классика, белый с патиной;82400
Зеркало декоративное «Флоренция» солнце D70, металл латунь;5800
Шкаф 3-створчатый распашной «Милан» 150×55×210, орех итальянский;33700
