product_name;price_rub
Кресло руковод. кожа премиум беж. дерев.накл.;38400
Стеллаж для дисков олимп. 800х400х1200 сталь чёрн.;7400
Стеллаж консольн. 1-стор. 2000х600х2500 нагр.500кг/п;18400
Верстак с экран. перфорир. под инструмент 1500х700х1800;22400
Стол письм. 1200х600х750 ЛДСП белый;48900
Картотека металл. 3-ящ А5 ключ;5800
Столик барн. высок. 600х600х1100 ЛДСП венге метал.опор.;4400
Стол письм. 2000х800х750 с надстр. ЛДСП венге;17800
Тумба прикроват. больничн. метал. 500х450х800 серый;7100
Кресло для забора крови 800х650х1100 винил. беж.;14700
Шкаф для одежды офисн. 800х500х1850 ЛДСП серый штанга;9800
Кухон.модуль офис. верх. 800х300х720 ЛДСП белый;4400
Кресло геймерск.офисн. сетка чёрн./серый рег.подгол.;15700
Стеллаж консольн. 1-стор. усил. 3000х800х2500 600кг/п;24700
Шкаф для документов низк. полузакр. 800х400х750 серый;5400
Картотека металл. 2-ящ А5 ключ;3700
Подиум выставочн. квадр. 500х500х500 ЛДСП чёрн.;3400
Диван угл. еврокн. рогожка серый;42500
Стол письм. ученич. компакт. 1000х500х750 ЛДСП белый;4200
Подставка под клавиат. встр. в стол выдвижн.;1980
Стул обеден. дерев. бук лак мягк.сид. экокожа беж.;2700
Светильник наст. зажим LED ленточн. чёрн.;1180
Стол барн. круглый 700х1100 ЛДСП дуб метал.опор.;4700
Светильник настен. бра LED 8Вт серебр.;1280
Кресло руковод. экокожа чёрн. крестов. метал.;13400
Шкафчик столовой под мойку 600х450х720 серый;3400
Шкаф 3-дв. распашн. 1200х500х2100 ЛДСП д.сонома штанга+полк.;19400
Сейф огнестойк. 800х600х600 90мин эл.замок премиум;42400
Ресепшен гост. угл. 2400х2400х1150 ЛДСП венге;64700
Кровать-софа односп. 900х2000 ЛДСП д.сонома 2 ящ.;14500
Кушетка медиц. смотр. 1900х700х650 винил. беж. карк.;10400
Верстак-стол комбинир. 1200х600х850 ЛДСП метал.карк. 3 ящ.;11700
Пуф с ящиком 800х400х400 рогожка серый;3400
Кронштейн ТВ наст. поворотн. 23-43 нагр.30кг;1450
Стол письм. угл. компакт. 1100х900х750 ЛДСП венге;7900
Тумба офисн. 3-дв. 1200х450х750 ЛДСП венге;9800
Кровать односп. 800х2000 масс.сосны лак;11200
Доска маркерн. магн. 1200х900 алюм.рамка;2100
Кресло посетит. на полозьях экокожа т.серый штабел.;3400
Стул банкетн. штабел. ткань бордо. карк. хром;1480
Кресло посетит. штабел. пластик серый метал.ножк.;1700
Шкаф огнестойк. 8000х500х1850 60мин ключ;64800
Стеллаж металл. ##ERR## пол. 1200х500х2000 нагр.150кг/п;9100
Шкаф для инструмент. створк.перфор. 1200х500х1950;27400
Стеллаж для гантелей 2-ярус. 2000х500х750 сталь 3мм;14800
Скамья парков. без спинки 1500х400х450 дерев.планк. метал.;6400
Урна метал. уличн. раздельн. сбор 2-секц. 60л оцинк.;9800
Стул банкетн. штабел. ткань серый. карк. хром;1480
Кресло операторск. ткань антистат. серая крест.пласт.;4400
Шкаф для одежды офисн. угл. 800х800х1950 ЛДСП серый;15400
Стеллаж нержав. сетч. овощехр. 1000х500х1800 SS;28400
Стол операторск. бенч-карк. 1400х600х750 ЛДСП серый;7400
Шкаф архивн. усил. 2-дв. 1200х450х1950 ключ серый;22400
Стеллаж паллетн. с настилом 2700х1000х4000 нагр.500кг;26400
Светильник потолочн. накл. лин. 600 18Вт LED;680
Барная стойка дом. компакт. 1200х450х1050 ЛДСП серый;9700
Стул конферен. экокожа коричн. с пюпитром;3650
Стол ресторан. длин. 2400х800х750 ЛДСП венге карк.;14400
Сейф оружейн. 250х200х1200 ключ;4800
Стол угл. 1500х1200х750 с надстр. ЛДСП венге;13900
Кухон.модуль офис. под холод. 600х600х820 ЛДСП;5400
Шкаф для документов средн. со створк.+полк 800х400х1150;7400
Стойка инфузион. напольн. рег.выс. 4 крюк хром;2700
Стол-приставка к рабоч.станц. 800х600х750 ЛДСП серый;3200
Кушетка медиц. смотр. 1900х700х650 экокожа бел. карк.;11800
Урна метал. уличн. 50л чугун опорн. на бетон;5700
Перегор. санитарн. кабина в сборе ЛДСП 1200х1500х1800;19800
Стол лаб. пристен. 1500х750х900 ЛДСП серый тумб.;15400
Контейнер метал. складн. 1200х800х800 нагр.500кг;11400
Витрина музейн. горизонт. 1200х600х900 LED замок;32700
Стеллаж металл. для архива 5 пол. 1000х400х2200 А4;9800
Стеновая панель акуст. дерев.шпон 600х600 шумоизол.;3200
Подиум выставочн. квадр. 6000х600х600 ЛДСП белый;4100
Кресло офисн. оператора сетка синяя крест. хром;4900
Шкаф медиц. метал. 2-секц. 900х450х1950 ключ бел.;16800
Стеллаж гараж. усил. 1200х500х2000 нагр.250кг/п 5 пол.;8400
Перегородка офисн. стацион. ткань-стек. 1400х40х1500;6800
Кушетка медиц. смотр. 1800х600х600 экокожа чёрн.;84
Кресло руковод. кожа чёрн. пятилучье хром;1480
Парта школьн. антиванд. лам.HPL 1200х500х760 карк.чёрн.;6400
Тумба под сейф усил. 600х500х450 нагр.200кг чёрн.;3800
Кресло посетит. на полозьях экокожа коричн. хром.карк.;3280
Раздевалка скамья с ящ. под обувь 1000х350х450;4400
Кушетка медиц. смотр. 1900х600х600 экокожа бел. карк.;10400
Стол офисн. оператора 1200х600х750 ЛДСП серый;6300
Стойка-вешалка напольн. метал. 5 крюч. чёрн.;980
Стол ученич. регул. 2-местн. 1200х500 рег.580-760 ЛДСП;5700
Тумба сервисн. 3-ящ 500х450х750 ЛДСП белый;5400
Ресепшен-стойка угл. 1800х1800х1100 ЛДСП д.сонома;38400
Перегор. душевая раздвижн. 1200х8х2000 матов. алюм.;21400
Кресло геймерск. экокожа чёрн./красн. подлок. регул.;13900
Стол письм. 1200х600х750 ЛДСП клён;5300
Доска аудитор. 3-секц. зелён. мел. 3000х1000 алюм.рамка;9400
Лавка силовая горизонт. 1300х450х450 кожзам чёрн.;8700
Стол кухон. раскладн. круглый 900/1200 ЛДСП белый;7800
Шкаф для одежды офисн. 1200х500х1850 со штангой+полк;13800
Стеллаж металл. 4 пол. 700х300х1500 нагр.100кг/п;3950
Тумба прикроват. больничн. метал. 4000х400х750 бел.;5700
Шкафчик столовой 400х400х720 ЛДСП белый;2400
Зона ожидан. диван 3-местн. рогожка серая хром.ножк.;28700
Тумба выкатн. 3-ящ 400х500х600 ЛДСП серый;4100
Комод 5-ящ 800х450х1100 ЛДСП д.сонома;7400
Стул банкет. штабел. ткань беж. метал.карк. крест, хром;1380
Стол операторск. с экраном 1400х700х750 ЛДСП серый;9200
Перегородка офисн. экран 1400х30х400 ткань чёрн.;2700
Стеновая панель акуст. ткань серая 600х600 38мм;1980
Кресло руковод. сетка эрг. чёрн. подгол. подножк.;19400
Кровать-чердак односп. 900х2000 ЛДСП бук;22500
Шкаф ЛОК метал. 5-секц. 150х500х1850 ключ серый;19800
Стол письм. с ящиками 1400х700х750 ЛДСП д.сонома;9700
Тумба офисн. с дв. 600х450х750 ЛДСП венге полк.;5800
"Шкаф сервер. напольн. 19"" 22U 600х600х1200 перфор.дв.";28400
Урна метал. уличн. 30л оцинк. крышка с пепельн.;3400
Стол комп. дет. растущ. 700х500х рег. ЛДСП белый;11800
Стол письм. 1200х600х750 ЛДСП бук;5290
Стол операторск. угл. 1600х1400х750 экран ЛДСП белый;13700
