product_name;price_rub
Christmas tree slim pencil 150cm warm leds entryway;4800
Guitar stand metal black single foldable adjustable padded;1450
Monitor stand wood walnut 50x22x12;1450
Dining chair set of 2 eco-leather black metal;5400
Storage basket cotton rope d=35 cream tassels;1450
Outdoor sofa set L-shape poly-rattan grey 7-piece;94400
Bedspread microfiber 180x220 grey reversible;2950
Mattress encasement 160x200 waterproof bedbug-proof;3200
Tatami platform bed «Oslo» 160x200 oak natural low-profile;38400
Halloween decor witch metal 120cm yard set of 3;3200
Antique chest tabletop wood 45x25x30 hand-carved;3450
Antique-style clock wall round d 80 distressed roman;5400
LED strip kitchen under-cabinet 3m motion;2400
Mattress topper memory foam 200x200 7cm cooling;12400
Patio dining set 6-seater aluminum teak top;72400
USB hub «Oslo» under-desk clamp 4-port USB charger pad;2800
Rattan corner sofa set «Oslo» 6-seater brown;94200
Massage table portable wood 70x190 black;18400
Area rug hallway runner 60x250 sisal beige;4200
Smart lighting strip «Stella» 10m RGB tuya app gradient;3450
Bar stool «Oslo» 50x50x85 velvet rose gold legs;4800
Yoga bench «Oslo» bamboo natural 50x20x20 foldable kneeling;2800
Umbrella stand «Aria» ceramic ivory minimal 25x25x55;2400
Bedside cabinet «Verona» wood walnut 1 door 1 drawer;7400
Bench «Adeline» end-of-bed velvet champagne 140x40x45 luxe;9800
Sun lounger aluminum white set of 2;19400
Patio dining set «Adeline» 8-seater rattan brown;94400
Yoga mat bag canvas natural sage adjustable strap;980
Bar stool «Oslo» 50x50x85 velvet navy gold legs;4800
RGB monitor stand triple 120cm gaming-desk shelf black;5800
Coffee table «Норд» live-edge walnut 140x70x40 natural;28400
Wine rack «Verona» metal black 24-bottle freestanding 50x30x110;6400
Gaming chair ergonomic faux leather black-red RGB;14800
Cat tree compact wall-mount sisal beige;2800
Bed double «Verona» 160x200 MDF sonoma oak headboard tufted;31800
Dog crate furniture end-table MDF sonoma oak 90x60x70;9400
Dog bed «Lyon» bolster fabric beige large 100x70;4400
Ottoman tufted velvet 80x40 dusty rose;5800
Closet shelves wood walnut 5-tier 80x40x180;9400
Outdoor cushion bench 110x40 olefin grey;1450
Wardrobe corner 90x90x220 sonoma oak;24500
Candle holder ceramic ivory pillar d=12;980
Shower curtain «Verona» linen 180x200 botanical;2200
Vanity stool velvet pink gold legs;3450
Bench upholstered hallway 90x35x45 velvet navy;4800
Yoga strap cotton natural 240cm D-ring;380
Bench mudroom solid pine 120x40x45 with hooks;8400
Bed double «Verona» 160x200 MDF cream headboard tufted;31800
Console table glass top 110x35x80 metal gold;9800
Decorative pumpkin ceramic ivory d=20 set of 2;1280
Storage cube kids print 28x28x28 set of 4;1280
Floor cushion meditation 70x70x15 linen sage;1850
Candle lantern metal black indoor-outdoor 30cm;1450
Chest of drawers 60x40x110 MDF cream oak;7200
Mirror sunburst «Verona» brass d=100 antique;7800
Accent chair velvet mustard;9400
Plaid cashmere blend 130x180 burgundy;6800
Coffee table square 70x70 glass top black metal;6800
Dressing table folding 80x35x130 white compact;7400
Jewelry box velvet grey 3-tier;2800
Sun bed metal black mesh outdoor reclining;9800
Area rug kids polypropylene 140x200 stars cream;2800
Bench storage «Norton» 110x40x45 oak natural;6800
