product_name;price_rub
Шторы блэкаут готовые 2 полотна 150 на 270, цвет тёмно-серый;3800
Барный стул высокий с подножкой, экокожа белая;3400
Кроватка для новорождённого классическая с маятником и закрытым основанием, белая;7100
Гирлянда штора на окно с пультом и таймером, белая 200 ламп;2700
Низкая японская кровать на платформе татами 160 на 200, оттенок светлый дуб;28460
Шкаф детский с космическими ракетами 3-секционный, тёмно-синий;15700
Лофт-комод из необработанной сосны с металлическими ручками, оттенок состаренный;13740
Кухонный мягкий уголок угловой со столом, обивка велюр горчичный;2380
Декоративная скамеечка для спальни круглая на ножках, обивка велюр изумрудный;3650
Кровать-чердак для двоих детей с лестницей и письменной зоной 90 на 200, цвет белый;28400
Большой подвижный столик прикроватный для ноутбука с зарядной станцией, графит;5700
Комод-витрина с 2 стеклянными дверцами, цвет белый;11200
Прикроватный подвижный столик для ноутбука с подстаканником и USB, тёмно-серый;5400
Симпатичное кресло-капля зеленнй с высокой спинкой, обивка велюр изумрудный;14210
Столик прикроватный подвижный для ноутбука на колёсиках, цвет белый;3400
Кроватка для новорождённого с маятником и съёмным бортиком, оттенок натуральный бук;7400
Невероятно крутая суперудобная кровать для всей семьи;28700
Большая кровать-карета двуспальная 160 на 200, белая с золотыми элементами;38900
Высокий пенал в ванную узкий 30 см с пятью полками, белый глянец;5800
Плетёная корзина для белья из ротанга натурального с крышкой, оттенок светлый;3400
Велотренажёр спин-байк профессиональный для интенсивных тренировок, чёрный с красным;38700
Уютная кровать-карета для девочки 90 на 200, розовая с золотом;26800
Аккуратная односпальная кроватка для подростка 90 на 200, цвет дуб сонома;8100
Узкий комод 40 см с 5 ящиками для маленькой комнаты, белый;6700
Сундук для хранения игрушек с мягким сиденьем, обивка бежевая;3800
Когтеточка-стеллаж для кошки многоуровневая с домиком, цвет бежевый;5460
Эллиптический тренажёр магнитный домашний для всей семьи, цвет чёрный;28900
Двойной спальный мешок-одеяло с подушками, цвет тёмно-зелёный;5800
Кровать-домик трёхместная многоярусная для семьи, цвет дуб;28400
Подставка под книги в виде дерева металлическая, золото;2200
Складная вешалка-сушилка напольная для белья на балкон раздвижная, цвет белый;2400
Спортивная полка-стеллаж для гирь и гантелей металлическая, цвет чёрный матовый;6480
Двухъярусная кровать с диваном-аккордеоном внизу для троих, обивка велюр пыльно-розовый;36400
Просторная угловая прихожая модульная с зеркалом и обувницей, цвет дуб сонома;19460
Кухонный уголок угловой со спальным местом, обивка экокожа бежевая;17800
Огромный шкаф-купе четырёхдверный длиной зеркало 240, цвет дуб молочный;26790
Аккуратная вешалка-стойка напольная с полкой для обуви, бамбук;2400
Лофт-светильник подвесной из чёрной трубы с тремя плафонами, оттенок графитовый;3430
Низкая кравать-чердак для младшего школьника со ступеньками-ящиками 80 на 180, белый;19400
Корзина из джута для игрушек в детскую с ручками, белая;1850
Беседка садовая шатровая складная 3 на 3 метра, оливковая;9800
Узкий шкаф белый цвет с тремя полками для лоджии;6790
Удобные кухонные стулья регулируемые по высоте 4 шт, обивка экокожа белая;11490
Лампа настольная для школьника с гибкой ножкой и часами, белая;1750
Пуф овальный с местом для хранения, обивка велюр тёмно-синий;3400
Уютная скамья мягкая в спальню 120 см с пуговицами, обивка лён бежевый;6510
Высокий стеллаж в гостиную 6 полок 200 см, цвет графит;6800
Туалетный пуф мягкий круглый для столика 40 см, обивка велюр пудровый;1820
Шкаф-купе трёхдверный 240 см с зеркалом в гостиную, цвет дуб сонома;267000
Аккуратная подставка для ноутбука складная деревянная, орех;1850
Походная кровать раскладная на каркасе с матрасом 190 см, серая;4900
Сканди-стулья кухонные деревянные простые из бука набор 4 шт, цвет натуральный;9810
Бар-стойка для кухни с подсветкой и полками для бокалов, цвет белый глянец с дубом;14470
Гарнитур для студии: стол-кровать-шкаф трансформер, цвет белый;52400
Визажное зеркало настольное с яркой LED-подсветкой 60 см, оттенок мятный;5990
Большие декоративные свечи в металлическом подсвечнике 3 шт, золото;2400
Стеллаж в ванную узкий над стиральной машинкой, цвет белый влагостойкий;6100
Подставка для специй настольная вращающаяся на 12 баночек, цвет дерево бамбук;1450
Раздвижная японская дверь-перегородка сёдзи белая рисовая бумага, ширина 90;14690
Ковровая дорожка в коридор 80 на 250, бежевая с орнаментом;3400
Барный стул со спинкой, обивка экокожа коричневая;3900
Большое мягкое кресло цвета горчица, в гостиную;13900
Симпатичная скамья-сундук для гостиной с обивкой велюр, цвет горчичный;7340
Кроватка для новорождённого с маятником и съёмными колёсами для перевозки, бук с белым;7900
Гримерное зеркало большое в раме с лампами 100 на 70, цвет золото матовое;9740
Стулья обеденные кожаные с металлическим каркасом 4 шт, цвет коричневый;15490
Декоративная подушка с принтом единорога для детской, розовая;850
Высокое кресло-помощник для пожилых с поднимающимся сиденьем, обивка велюр бежевый;28760
Кресло-качалка плетёная из ротанга с пледом в подарок, бежевая;13900
Комплект садовый: стол и четыре стула из ротанга искусственного, оттенок тёмный шоколад;14800
Удобйный кухонный мягкий уголок угловой со спальным местом, обивка лён бежевый;25400
Тумба под телевизор в стиле прованс с цветочной росписью 140 см, оттенок белый;11440
Гамак комнатный одноместный с подушкой, цвет тёмно-синий;5400
Угловой стол с подсветкой для подростка с надстройкой-полками, оттенок графит;13800
Прекрсаный туалетный столик с подсветкой и круглым зеркалом, оттенок белый матовый;13480
Большая декоративная подставка под кашпо в виде шара, цвет золото матовое;3410
Открытый стеллаж в кабинет шесть полок 200 см, цвет тёмное дерево;13860
Когтеточка с домиком и игрушкой для котят, оттенок бежевый с серым;3260
Кровать с большим подкроватным хранением на пневматике 160 на 200, бежевая;28900
Шезлонг-лежак для бассейна с регулируемой спинкой, белый;7200
Кухонный мягкий уголок п-образный для большой кухни, обивка серая;29800
Большой плед вязаный крупная вязка 200 на 220, бежевый;3900
Огромная двухъярусная кровать с угловым диваном-кроватью внизу для троих, серая рогожка;42800
Симпатичная скамья со спинкой для прихожей 100 см, обивка серая;5800
Кровать-машинка в виде экскаватора 80 на 170, оранжевая с чёрным;15900
Зеркало настенное круглое в металлической раме 70 см, чёрное;3200
Шкаф прованс с патиной двухдверный 100 см, оттенок мятный с золотом;18350
Очень уютная двуспальная кроватка 140 на 200 с подъёмным механизмом, обивка велюр пыльно-розовый;21900
Большой раскройный стол для шитья 160 на 80 на колёсиках, цвет белый;14200
Картина настенная модульная из 3 частей «Лес туманный»;3200
Кровать-ракета космическая для мальчика 80 на 170, цвет тёмно-синий с белым;18950
Визажное зеркало настольное с яркой LED-подсветкой 60 см, цвет золото матовое;5990
Большая кровать с балдахином 180 на 200, цвет слоновая кость;36400
Угловой шкаф-купе пятиугольный с зеркалами и подсветкой, оттенок дуб сонома;26710
Угловая модульная гардеробная система для большой спальни, цвет белый с серым;26440
Прикраватная тумбочка маленькая на высоких ножках 35 на 35, цвет белый матовый;2830
Симпатичный мобильный столик для ноутбука с подъёмной столешницей, графит;4800
Шкаф-купе 2-дверный с фотопечатью «город» 160 см, для подростка;17900
Кресло-мешок в стиле сафари с принтом тигра, цвет жёлтый с чёрным;2680
Большая стенка для гостиной горка с тумбой ТВ и витриной, цвет дуб сонома с белым;33710
Маленькая кровать-домик 70 на 140 для малыша, белая с крышей;9800
Уютный диванчик бежевый коричневый 180 см для гостиной, обивка велюр меланж;24710
Стулья обеденные с круглой спинкой и подушкой 4 шт, оттенок дуб с серым;13790
Гладильная доска большая с парогенераторной полкой и розеткой, цвет графитовый;5800
Игровая горка домашняя складная для детей 130 см, цвет голубой с белым;9890
Качалка-шезлонг для гостиной из массива, бежевый плед в комплекте;14700
Большая кровать-домик с лестницей и горкой 90 на 200, белая;19700
Шкаф для лоджии узкий 40 см с тремя полками, цвет белый влагостойкий;7900
Симпатичный шезлонг-качалка для дачи плетёный с подушечкой, оттенок натуральный;6700
Шатёр-тент с москитной сеткой 3 на 3 для дачи, белый;8400
Большое подвесное кресло-яйцо ротанговое серое с матрасом-подушкой;21800
Корзина плетёная из лозы круглая для пледов в гостиную, цвет серый бежевый;3400
Большая плетёная корзина для белья на колёсиках 70 см, серый ротанг;4700
Большой шкаф-купе четырёхдверный с двумя зеркальными секциями 240 см, цвет венге;31790
Сушилка электрическая для белья с подогревом и таймером, цвет серый;6700
Большой стеллаж-витрина для коллекции пять полок стеклянных, цвет чёрный с золотом;7390
Уютный диванчик-канапе для гостиной 170 см, обивка бархат изумрудный с пуговицами;26410
Стойка для вертикального сада на восемь горшков высокая, цвет белый матовый;5260
Игровой столик-парта с доской для рисования, разноцветный;2950
Большая декоративная свеча в стеклянной вазе 25 см, ваниль;2200
Ночник проектор галактики со звёздами и облаками туманности, цвет белый;2490
Кровать «Сон императора» резная с балдахином 180 на 200, оттенок мореный палисандр;48790
Праздничный стол-консоль раскладной для большой компании, оттенок белый с золотом;13410
Декоративная подушка квадратная 45 на 45, велюр горчичный;850
Двухъярусная кровать с лестницей-комодом для двоих детей, дуб молочный;24500
Компьютерный стол с надстройкой и полками 120 см, венге;7800
Удобный диван-релакс трёхместный с электрорегулировкой спинки, обивка экокожа коричневая;54420
Кухонный угловой диванчик мягкий со столом и 2 табуретами, рогожка серая;22500
Шикарная двуспальная кровать из массива сосны 160 на 200 см, оттенок орех, для большой спальни;31200
Декоративный коврик прикроватный 60 на 90 пушистый, тёмно-серый;1750
Японский низкий шкаф-комод для гостиной 120 на 40 на 60, оттенок светлый дуб;9650
Кухонный мягкий уголок с лимонной обивкой угол со столом, велюр горчичный;21400
Откидная двуспальная кровать к стене 160 на 200, белый глянец;38700
Беседка-шатёр на каркасе с москитной сеткой, бежевый тент;11400
Подставка-стойка для цветов кашпо вертикальный сад на пять горшков, цвет золото матовое;3470
Кровать двуспальная из массива дуба 180 на 200, оттенок натуральный;48700
Уютная скамья-сундук для веранды 120 см с открывающимся сиденьем;6700
Шикарный 3-дверный шкаф-купе с зеркалом длиной 240 см, цвет дуб сонома, для большой спальни;26900
Удобное кресло-качалка из ротанга с мягкой подушкой, цвет коричневый;11900
Парта для рисования детская с наклонной столешницей 80 см, цвет белый с голубым;6440
Шкаф длиной 240 шириной 60 высота с зеркалом, цвет белый;28400
Стеллаж лесенка-полка 4 яруса деревянная, под лиственницу;3200
Бра в кантри-стиле с двумя плафонами под лён, оттенок патина;3400
Стул барный регулируемый по высоте, металл с экокожей серый;3600
Кровать-космолёт с крыльями и иллюминаторами 80 на 180, цвет серебристый с синим;28780
Кровать-чердак с горкой и шторкой-вигвамом, цвет белый, в детскую;19900
Японский низкий шкаф-комод для гостиной 120 на 40 на 60, цвет венге;9650
Бра настенное классическое с тканевым абажуром, бежевый;1700
Гладильная доска с термостойкой обивкой и парогенераторной полкой, синяя;5700
Кровать круглая двуспальная 220 см, обивка велюр серый;39800
Большой плетёный кокон-кресло подвесной для гостиной без стойки, оттенок шоколад;14700
Стильый туалетный столик для макияжа с LED-зеркалом круглым, белый с золотом;16400
Корзина джутовая высокая для пледов 50 см, цвет натуральный;2400
Шкаф для одежды с морскими волнами и якорями, бело-голубой;14400
Кровать-чердак для девочки с балдахином-короной и горкой, белая с розовым 80 на 170;21400
Кровать-чердак для подростка 90 на 200 с лестницей-комодом, цвет графит;24700
Двойная корзина для сортировки белья на колёсиках с двумя отделениями, цвет белый;3900
Кровать-софа с двумя ящиками 90 на 200, обивка велюр светло-серый;13400
Восточная тахта-кушетка с подушками-валиками 180 см, обивка велюр бирюзовый;19450
Стеллаж индустриальный лофт металл с деревом пять полок 100 на 30, цвет чёрный с дубом;8490
Большой садовый стол прямоугольный 150 на 80, под дерево тик;7400
Стулья кухонные простые деревянные 4 шт, цвет натуральный;4400
Откидной стол для лоджии складной длиной 80 см, оттенок венге;3100
Огромный пуф-мешок для подростка, обивка велюр изумрудный;3400
Подвижный столик прикроватный для ноутбука и книг 60 на 40, цвет светлый дуб;3400
Когтеточка-стеллаж для кошки многоуровневая с домиком, оттенок шоколад;5460
Большой вязаный плед-косичка 150 на 200, цвет горчица;4400
Маленькая прихожая 80 см с зеркалом и крючками, цвет венге;6400
Корзина для игрушек тканевая складная с принтом звёзд для детской;1100
