Домен	Артикул	Тип товара	Наименование	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID
Мебель	ЯР-PL-B16	Ящик		60х40х35	синий	пластик	с колёсами 45л; ТМ: Алтек	1400	s4_1
Мебель	СТЖ-906-C58	Столик журнальный	Аделина	90х50х45		МДФ	глянец; ТМ: Lazurit	6200	s4_2
Мебель	БАН-1004-C80	Банкетка	Брест	100х35х45	бежевый	микровельвет; ткань	ТМ: Anrex	5400	s4_3
Мебель	ЗЕР-6080-C56	Зеркало	Стокгольм	60х80	дуб сонома		настенный рама; ТМ: Anrex	4400	s4_4
Мебель	ПР-1206-781	Прихожая	Аркада	120х30х205	дуб	ЛДСП	модульный; ТМ: Сокол	19800	s4_5
Мебель	КОМ-705-943	Комод	Капитошка	70х40х80	белый/розовый		детский 4-ящик; ТМ: Mr. Doors	8700	s4_6
Мебель	ОБВ-1004-B32	Обувница		100х25х100	венге	ЛДСП	5-секц; ТМ: Икар	7200	s4_7
Мебель	МТР-1620-F21	Матрас	Promtex Silver	160х200			пружинный 5 зон; ТМ: Promtex	31800	s4_8
Мебель	БАН-1004-C34	Банкетка	Прованс	100х40х48	бежевый	ткань; льняная	ТМ: Лером	7600	s4_9
Мебель	ТУС-1004-B67	Туалетный столик	Стокгольм	100х45х80	дуб сонома	ЛДСП	туал столик; ТМ: Anrex	12800	s4_10
Мебель	ДЕТ-ЮН-016	Пуф	Юниор	40х40х42		ткань	детский с ящик бирюз; ТМ: Любимый дом	3200	s4_11
Мебель	ДУ-2602-807	Диван	Каир			рогожка	дельфин тёмн серая; ТМ: Pushe	58400	s4_12
Мебель	ШК-2106-185	Шкаф-купе		210х60х220	венге		4-дверный зерк; ТМ: Hoff	42800	s4_13
Мебель	КО-TC-D96	Кресло	Tetchair Pilot		чёрный	экокожа; кожа	геймер RGB; ТМ: Tetchair	19800	s4_14
Мебель	ДУ-3001-C23	Диван	Манхэттен		коричневый	кожа	модульный; ТМ: Сонум	87800	s4_15
Мебель	КОМ-1305-B65	Комод	Орхидея	130х45х100	дуб	ЛДСП	XL мол; ТМ: Лером	17800	s4_16
Мебель	ОБ-1808-E37	Стол обеденный		220х90	дуб	массив дуб	раздв 180; ТМ: Mebelain	38400	s4_17
Мебель	ШП-2206-563	Шкаф платяной	Премиум	220х65х225		шпон	4-дверный; ТМ: Лером	87400	s4_18
Мебель	МТР-1820-A73	Матрас	Vegas Soft	180х200		пена мемори	беспружинный; ТМ: Vegas	33400	s4_19
Мебель	КВ-09015	Ковёр		90х150	бежевый	шерсть	прикроватный классик; ТМ: Витебск	4200	s4_20
Мебель	ТВ-1204-555	Тумба ТВ			белый	ЛДСП	120 глян; ТМ: Eltap	6900	s4_21
Мебель	ТВ-1804-011	Тумба ТВ		180х50х50	венге	ЛДСП	угловой; ТМ: Сокол	9100	s4_22
Мебель	ПЛ-ВЛ-932	Плед		150х200	графит	велюр	однотонный; ТМ: Этель	2400	s4_23
Мебель	КАК-7575-D42	Кресло	Аскона Меган		графит	велюр	вращ; ТМ: Аскона	19800	s4_24
Мебель	ЗЕР-5070-C79	Зеркало	Брест	50х30х110	белый	ЛДСП	с полкой; ТМ: Anrex	4200	s4_25
Мебель	КГ-OS-B55	Кухонн.	Кантри	100х80х90	бежевый	МДФ	остров; ТМ: Stolline	32400	s4_26
Мебель	КО-BR-A91	Кресло руководителя	Бюрократ T-995		коричневый	кожа	хром; ТМ: Бюрократ	24800	s4_27
Мебель	ШП-1506-660	Шкаф платяной	Норд	150х60х220			3-дверный артизан; ТМ: Anrex	31200	s4_28
Мебель	КВ-16023	Ковёр		160х230	серый	вискоза	модерн; ТМ: Меринос	9200	s4_29
Мебель	МТР-1820-F19	Матрас	Optima Plus	180х200			пружинный независимый зональный; ТМ: Аскона	25800	s4_30
Мебель	КШ-1006-764	Шкаф	Атриум	100х35х210	венге		книжн модульный; ТМ: Mebelain	18400	s4_31
Мебель	ШП-1606-B66	Шкаф платяной	Карина	160х60х225	графит	МДФ	3-дверный; ТМ: Lazurit	48700	s4_32
Мебель	СТ-1206-C93	Стол письменный		120х60	венге	ЛДСП	ТМ: Anrex	5100	s4_33
Мебель	КОМ-1205-252	Комод		120х40х95	венге	ЛДСП	6-ящик; ТМ: Anrex	11800	s4_34
Мебель	МДУЛ-806-A40	Шкаф	Гранд	80х40х210	белый	МДФ	модуль узк глянец; ТМ: Hoff	14400	s4_35
Мебель	БАН-1004-966	Банкетка	Лагуна	100х40х48		экокожа; кожа	белая; ТМ: Anrex	7400	s4_36
Мебель	ДУ-2801-606	Диван	Малибу		серый	рогожка	еврокнижка	52400	s4_37
Мебель	ВТ-606-218	Вешалка		60х170	чёрный	металл	напольный; ТМ: Икар	2400	s4_38
Мебель	КОМ-805-F08	Комод	Версаль	80х45х80	слоновая кость	МДФ	3-ящик глянец; ТМ: Lazurit	14800	s4_39
Мебель	ДЕТ-TET-013	Комод	Tetris	100х40х95	дуб	ЛДСП	5-ящик артизан; ТМ: Mr Doors	12400	s4_40
Мебель	КО-868-007	Кресло офисное	Бюрократ CH-868			сетка	кресло офисный синяя	7600	s4_41
Мебель	КО-CHR-D93	Кресло	Chairman 736			ткань	посет серая (2 шт); ТМ: Chairman	5800	s4_42
Мебель	СТ-1306-711	Стол письменный	Стокгольм	130х60	дуб сонома	ЛДСП	ТМ: Anrex	6800	s4_43
Мебель	ШП-1806-F26	Шкаф платяной		180х60х230	белый	ЛДСП	4-дверный; ТМ: Лазурит	48700	s4_44
Мебель	КШ-8060-D70	Шкаф кухонный		80х30х72	дуб сонома	ЛДСП	навесной; ТМ: Сокол	3700	s4_45
Мебель	ДН-2400-D24	Диван	Аскона Лагуна		капучино	шенилл	еврокнижка; ТМ: Аскона	62400	s4_46
Мебель	ВТ-806-B30	Вешалка		80х175	дуб		стойка деревянный с крючк; ТМ: Икар	3800	s4_47
Мебель	МТР-0920-D10	Матрас	Vegas Soft	90х200		пена мемори	беспружинный; ТМ: Vegas	16800	s4_48
Мебель	БАН-1104-C73	Банкетка	Гомель	110х35х48		ткань	обувница серая; ТМ: Anrex	5800	s4_49
Мебель	ДЕТ-ШК-020	«школьник»	Школьник	120х60	бежевый		уголок школьн с полкой; ТМ: Любимый дом	13800	s4_50
Мебель	ЛНП-200-E13	Торшер					LED 200 см smart RGB управл с тлф; ТМ: Navigator	8400	s4_51
Мебель	КП-2006-785	Прихожая	Скандик	200х35х215	белый	ЛДСП	компл; ТМ: Икар	31700	s4_52
Мебель	МТР-1620-A66	Матрас	Optima	160х200			пружинный независимый эконом; ТМ: Аскона	19800	s4_53
Мебель	ШО-1806-385	Шкаф офисный		180х40х200	дуб	ЛДСП	ТМ: Бюрократ	14700	s4_54
Мебель	ТУС-1104-705	Туалетный столик	Орхидея	110х45х80	дуб	МДФ	туал столик мол; ТМ: Лером	17400	s4_55
Мебель	БАН-1004-707	Банкетка	Орхидея	100х40х48		ткань	пыльн роза; ТМ: Лером	7800	s4_56
Мебель	КР-1820-117	Кровать		180х200	белый	ЛДСП	дв ортопед осн; ТМ: Mr. Doors	28400	s4_57
Мебель	ШК-1806-174	Шкаф-купе		180х60х220	белый	ЛДСП	3-дверный; ТМ: Hoff	33700	s4_58
Мебель	ШО-1206-B45	Шкаф		120х40х200	венге	ЛДСП	архивн; ТМ: Бюрократ	15800	s4_59
