Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽);ID
Ванная;Тумба под умывальник;Орхидея;60×45×60 см;белый патина с цветами;ЛДСП/МДФ;подвесная;классика;15700;s1_
Гостиная;Диван-кушетка;Кокон;1-местный;пудровый;рогожка;-;-;19400;s2_
Спальня;Кровать;Камелия;120×200 см;пудра;велюр;изголовье каретка;-;28900;s3_
Гостиная;Кресло-мешок;Кокон;XXL;серый;велюр;круглый;-;5900;s4_
Прихожая;Шкаф-пенал;Стокгольм;50×30×210 см;дуб артизан;ЛДСП;2 секции;скандинавский;9700;s5_
Кухня;Стол обеденный;Турин;160×90 см;орех;шпон ореха;раздвижной;-;38700;s6_
Гостиная;Журнальный столик;Палаццо;110×60 см;чёрный/белый;мрамор каррара/металл;овальный;-;33800;s7_
Гостиная;Кресло-реклайнер;Премьер;-;графит;велюр;механический, с подножкой;-;34800;s8_
Гостиная;Диван угловой;Лофт;-;чёрный;экокожа;механизм дельфин;лофт;44900;s9_
Детская;Шкаф;Школьник;-;бирюзовый/белый;ЛДСП;2-секционный, с полками;детский;14200;s10_
Спальня;Зеркало-трюмо;-;60×80 см;-;дерево/стекло;отдельностоящее, с подсветкой;-;13800;s11_
Кухня;Стул;Виндзор;-;натуральный;массив бука;лакированный;классика;4800;s12_
Гостиная;Кресло подвесное;Качели;-;белое;искусственный ротанг;swing chair, на стойке;-;28400;s13_
Ванная;Зеркало;Лазурь;90×70 см;-;стекло/металл;прямоугольное, антипар, регулировка температуры света;-;13700;s14_
Спальня;Туалетный столик;Карина;90×45 см;белый матовый;ЛДСП/МДФ;с подсветкой зеркала;-;19700;s15_
Гостиная;Сервант;Камелия;140×45×185 см;белый с золотой патиной;МДФ/стекло;с подсветкой, стеклянные дверцы;классика;48700;s16_
Кухня;Стул барный;Минск;-;дуб сонома/чёрный;ЛДСП/металл;эконом, регулируемая высота;эконом;2900;s17_
Спальня;Зеркало-трюмо;Камелия;80×40×40 см;белый/розовая пудра;ЛДСП/стекло;с откидным зеркалом;-;19700;s18_
Спальня;Кровать;Альфа;160×200 см;белый/чёрный венге;ЛДСП;подъёмный механизм;-;34800;s19_
Гостиная;Диван-канапе;Лион;2-местный;изумрудный;велюр;ножки золото;классика;48700;s20_
Кухня;Стол обеденный;Лофт;180×80 см;дуб артизан;ЛДСП/металл;на металлокаркасе;лофт;28400;s21_
Прихожая;Банкетка;Лион;180×40×45 см;графит;велюр/металл;ножки металл чёрный;-;14700;s22_
Спальня;Тумба прикроватная;-;40×35×50 см;дуб сонома;ЛДСП;1 ящик;-;3400;s23_
Прихожая;Вешалка-стойка;Альпы;50×30×170 см;чёрный;металл;с обувницей;-;6800;s24_
Гостиная;Кресло-реклайнер;Стокгольм;-;серый меланж;велюр;с пуфом;-;26800;s25_
Декор;Картина-постер;Северянин;60×80 см;-;холст/багет дуб;Карелия;-;3400;s26_
Гостиная;Диван прямой;Стокгольм;180×85 см;серая;рогожка;раскладной книжка;скандинавский;28900;s27_
Спальня;Кровать;Орхидея;160×200 см;графит;ЛДСП;подъёмный механизм;-;27500;s28_
Гостиная;Стеллаж;Лофт;150×30×220 см;чёрный/дуб;металл/дерево;6 полок, многоуровневый;лофт;12700;s29_
Спальня;Туалетный столик;Ариэль;100×40×140 см;шампань;МДФ;с зеркалом и подсветкой LED;-;22800;s30_
Спальня;Шкаф-купе;Стокгольм;220×60×220 см;дуб артизан;ЛДСП/зеркало;3-дверный;скандинавский;51400;s31_
Спальня;Кровать;Атлант;180×200 см;венге;ЛДСП/экокожа;с тумбами в изголовье, мягкая вставка;-;42800;s32_
