product_name;price_rub
Арт. ЯР-PL-B16 ящик пластик. с колёсами 60х40х35 45л синий, тм Алтек;1400
Арт. СТЖ-906-C58 «Аделина» столик журн. 90х50х45 МДФ глянец, тм Lazurit;6200
Арт. БАН-1004-C80 «Брест» банкетка 100х35х45 ткань микровельв. беж., тм Anrex;5400
Арт. ЗЕР-6080-C56 «Стокгольм» зеркало настен. 60х80 рама д.сонома, тм Anrex;4400
Арт. ПР-1206-781 прихожая модул. «Аркада» 120х30х205 ЛДСП дуб, тм Сокол;19800
Арт. КОМ-705-943 «Капитошка» комод детск. 4-ящ 70х40х80 бел./розов., тм Mr. Doors;8700
Арт. ОБВ-1004-B32 обувница 5-секц. 100х25х100 ЛДСП венге, тм Икар;7200
Арт. МТР-1620-F21 матрас «Promtex Silver» 160х200 пружин. 5 зон, тм Promtex;31800
Арт. БАН-1004-C34 «Прованс» банкетка 100х40х48 ткань льняная беж., тм Лером;7600
Арт. ТУС-1004-B67 «Стокгольм» туал.столик 100х45х80 ЛДСП д.сонома, тм Anrex;12800
Арт. ДЕТ-ЮН-016 «Юниор» пуф детск. с ящ. 40х40х42 ткань бирюз., тм Любимый дом;3200
Арт. ДУ-2602-807 диван угл. «Каир» дельфин рогожка тёмн.серая, тм Pushe;58400
Арт. ШК-2106-185 шкаф-купе 4-дв. 210х60х220 зерк. венге, тм Hoff;42800
Арт. КО-TC-D96 «Tetchair Pilot» кресло геймер. экокожа RGB чёрн., тм Tetchair;19800
Арт. ДУ-3001-C23 «Манхэттен» диван угл. модул. кожа коричн., тм Сонум;87800
Арт. КОМ-1305-B65 «Орхидея» комод XL 130х45х100 ЛДСП дуб мол., тм Лером;17800
Арт. ОБ-1808-E37 стол обед. раздв. 180-220х90 массив дуб, тм Mebelain;38400
Арт. ШП-2206-563 «Премиум» шкаф плат. 4-дв. 220х65х225 шпон, тм Лером;87400
Арт. МТР-1820-A73 матрас «Vegas Soft» 180х200 беспруж. пена мемори, тм Vegas;33400
Арт. КВ-09015 ковёр прикров. 90х150 шерсть классик беж., тм Витебск;4200
Арт. ТВ-1204-555 тумба ТВ 120 ЛДСП бел.глян., тм Eltap;6900
Арт. ТВ-1804-011 тумба ТВ угл. 180х50х50 ЛДСП венге, тм Сокол;9100
Арт. ПЛ-ВЛ-932 плед велюр 150х200 однотонный графит, тм Этель;2400
Арт. КАК-7575-D42 кресло «Аскона Меган» вращ. велюр графит, тм Аскона;19800
Арт. КОМ-1205-E59 комод 5-ящ 120х45х95 МДФ белый матов., тм Lazurit;180
Арт. ЗЕР-5070-C79 «Брест» зеркало с полк. 50х30х110 ЛДСП белый, тм Anrex;4200
Арт. КГ-OS-B55 кухонн. остров «Кантри» 100х80х90 МДФ беж., тм Stolline;32400
Арт. КО-BR-A91 «Бюрократ T-995» кресло руковод. кожа коричн. хром, тм Бюрократ;24800
Арт. ШП-1506-660 «Норд» шкаф плат. 3-дв. 150х60х220 артизан, тм Anrex;31200
Арт. КВ-16023 ковёр вискоза 160х230 модерн серый, тм Меринос;9200
Арт. МТР-1820-F19 матрас «Optima Plus» 180х200 пружин. независим. зональный, тм Аскона;25800
Арт. КШ-1006-764 «Атриум» шкаф книжн. модул. 100х35х210 венге, тм Mebelain;18400
Арт. ШП-1606-B66 «Карина» шкаф плат. 3-дв. 160х60х225 МДФ графит, тм Lazurit;48700
Арт. СТ-1206-C93 стол письм. 120х60 ЛДСП венге, тм Anrex;5100
Арт. КОМ-1205-252 комод 6-ящ 120х40х95 ЛДСП венге, тм Anrex;11800
Арт. МДУЛ-806-A40 «Гранд» модуль шкаф узк. 80х40х210 МДФ глянец бел., тм Hoff;14400
Арт. БАН-1004-966 «Лагуна» банкетка 100х40х48 экокожа белая, тм Anrex;7400
Арт. ДУ-2801-606 «Малибу» диван угл. еврокн. рогожка серый;52400
Арт. ВТ-606-218 вешалка напольн. метал. чёрн. 60х170, тм Икар;2400
Арт. КОМ-805-F08 «Версаль» комод 3-ящ 80х45х80 МДФ глянец сл.кость, тм Lazurit;14800
Арт. ДЕТ-TET-013 «Tetris» комод 5-ящ 100х40х95 ЛДСП дуб артизан, тм Mr Doors;12400
Арт. КО-868-007 «Бюрократ CH-868» кресло офисн. сетка синяя;7600
Арт. КО-CHR-D93 «Chairman 736» кресло посет. ткань серая (2 шт), тм Chairman;5800
Арт. СТ-1306-711 «Стокгольм» стол письм. 130х60 ЛДСП дуб сонома, тм Anrex;6800
Арт. ШП-1806-F26 шкаф плат. 4-дв. 180х60х230 ЛДСП белый, тм Лазурит;48700
Арт. КШ-8060-D70 шкаф кух. навесн. 80х30х72 ЛДСП дуб сонома, тм Сокол;3700
Арт. ДН-2400-D24 диван прям. «Аскона Лагуна» еврокн. шенилл капучино, тм Аскона;62400
Арт. ВТ-806-B30 вешалка-стойка дерев. дуб с крючк. 80х175, тм Икар;3800
Арт. МТР-0920-D10 матрас «Vegas Soft» 90х200 беспруж. пена мемори, тм Vegas;16800
Арт. БАН-1104-C73 «Гомель» банкетка обув. 110х35х48 ткань серая, тм Anrex;5800
Арт. ДЕТ-ШК-020 «Школьник» уголок школьн. 120х60 с полк. беж., тм Любимый дом;13800
Арт. ЛНП-200-E13 торшер LED 200 см smart RGB управл. с тлф., тм Navigator;8400
Арт. КП-2006-785 компл. прихож. «Скандик» 200х35х215 ЛДСП белый, тм Икар;31700
Арт. МТР-1620-A66 матрас «Optima» 160х200 пружин. независим. эконом, тм Аскона;19800
Арт. ШО-1806-385 шкаф офисн. ЛДСП 180х40х200 дуб, тм Бюрократ;14700
Арт. ТУС-1104-705 «Орхидея» туал.столик 110х45х80 МДФ дуб мол., тм Лером;17400
Арт. БАН-1004-707 «Орхидея» банкетка 100х40х48 ткань пыльн.роза, тм Лером;7800
Арт. КР-1820-117 кровать дв. 180х200 ЛДСП белый ортопед.осн., тм Mr. Doors;28400
Арт. ШК-1806-174 шкаф-купе 3-дв. 180х60х220 ЛДСП белый, тм Hoff;33700
Арт. ШО-1206-B45 шкаф архивн. 120х40х200 ЛДСП венге, тм Бюрократ;15800
Арт. КР-0820-951 «Школьник» кровать-чердак 80х190 ЛДСП бук/зелён., тм Любимый дом;19800
Арт. ЛН-USB-911 лампа дет. ночник звёзды LED USB пластик, тм Camelion;1100
Арт. КШ-9080-A13 шкаф кух. напольн. сушка 90х60х85 МДФ беж., тм Stolline;8900
Арт. ШП-2006-724 «Карина» шкаф плат. 5-дв. 200х60х230 МДФ графит, тм Lazurit;67800
Арт. КО-815-099 кресло руковод. экокожа чёрн. хром, тм Бюрократ;13700
Арт. БС-4080-871 стул барн. вращ. 40х40х80 метал. чёрн. сидение ясень, тм Tetchair;4400
Арт. ШК-2406-022 «Берлин» шкаф-купе 3-дв. зерк. 240х60х220 д.сонома, тм Hoff;45900
Арт. МТР-0820-D05 матрас «Vita Plus» 80х200 пружин. независим. латекс, тм Орматек;22400
Арт. ПР-ИКР-015 «Норд» банкетка обув. 80х35х48 ткань серая, тм Икар;5200
Арт. ТУС-1104-C16 «Лион» туал.столик 110х45х80 ЛДСП артизан, тм Mr. Doors;13800
Арт. ССТ-805-505 «Лофт» стеллаж 80х30х180 5 полок метал.кар., тм Eltap;9700
Арт. ДН-2200-801 диван прям. «Норд» еврокниж. рогожка серая, тм Hoff;42800
Арт. ОБ-1408-070 стол обед. 140х80 МДФ белый глянец, тм Stolline;14800
Арт. ПР-ANR-D77 «Гомель» зеркало с полк. 60х30х110 ЛДСП дуб, тм Anrex;5800
Арт. КОМ-1304-723 «Карина» комод 5-ящ 130х45х95 МДФ графит, тм Lazurit;21400
Арт. МТР-1520-D19 матрас «Promtex Silver» 150х200 пружин. 5 зон, тм Promtex;28400
Арт. МТР-1620-E60 матрас «Vegas Soft» 160х200 беспруж. пена мемори, тм Vegas;2890
Арт. ДЕТ- «Tetris» стол письм. трансформ. 120х65 ЛДСП дуб артизан, тм Mr. Doors;14200
Арт. ШК-2406-747 «Флоренция» шкаф-купе 3-дв. 240х65х230 ясень шпон, тм Mebelain;78400
Арт. БАН-1204-174 банкетка с обув. 120х35х50 ЛДСП венге, тм СБК;6900
Арт. ДН-2200-D37 диван прям. «Eltap Орегон» еврокн. рогожка терракот, тм Eltap;42700
Арт.   стол письм. 120х60 ЛДСП белый, тм Anrex;5200
Арт. ПР-ИКР-D80 «Норд XL» прихожая модул. 200х30х215 ЛДСП белый, тм Икар;32400
Арт. ВН-АКТ-E51 «Лондон» комплект ванный тумба+зеркало, тм Mebelain.;28400
Арт. ВН-ГРЦ-017 «Прованс» тумба под раков. 70х45х85 МДФ беж., тм Грация;15800
Арт. СТО-1407-429 стол офисн. с тумб. 140х70 ЛДСП бел., тм Бюрократ;11700
Арт. МТР-1820-835 матрас «Премиум» 180х200 латекс натур. 7 зон, тм Аскона;52800
Арт. БС-4585-873 стул барн. со спин. 45х40х85 экокожа коричн. хром, тм Tetchair;5400
Арт. ЛТ-LED-E08 светильник потолоч. LED 36Вт круг. ультратонк., тм Camelion;1800
Арт. ЗЕР-6080-993 зеркало настен. круг. d80 рама метал. золото, тм Икар;7800
Арт. ТП-4540-A19 «Орхидея» тумба прикров. подвесн. 45х40х25 дуб мол., тм Лером;5800
Арт. ДУ-2602-303 диван угл. «Прованс» дельфин ткань голуб., тм Eltap;48700
Арт. МТР-1820-841 матрас «Мульти» 180х200 пружин. зональный 5 зон, тм Promtex;29800
Арт. ЯР-А4-107 ящик архивн. картон А4 35х25х30 (5 шт), тм Практик;1200
Арт. ПР-СКЛ-014 «Атриум» зеркало с полк. 50х30х100 ЛДСП венге, тм Сокол;4900
Арт. ДКР-RG-014 картина «Морской пейзаж» холст 70х50 см, тм Royal Garden;3800
Арт. ПР-ИКР-008 «Минимал» обувница 60х25х95 ЛДСП белый мат., тм Икар;4400
Арт. КОМ-1105-962 «Лагуна» комод 5-ящ 110х45х95 МДФ глянец бел., тм Anrex;17400
Арт. ТРН-BS-007 «BS-2200» степпер с эспанд. дисплей, тм Body Sculpture;8900
Арт. ТРН-DFC-009 «E1000» эллипс магнит. компакт. 7 програм., тм DFC;26400
Арт. ЛТ-LED-E06 светильник линейн. LED 50Вт 150см IP65 белый, тм Navigator;2800
Арт. КР-1620-721 «Карина» кровать дв. с подъём. 160х200 экокожа графит, тм Lazurit;38400
Арт. ДКР-ЭТЛ-001 ваза керамика «Орхидея» h25 см белая глянец, тм Этель;1400
Арт. ОБ-1608-B73 стол обед. овал. 160х80 ЛДСП белый ножки метал., тм Stolline;14800
Арт. ЛНП-170-B09 торшер арматура 170 см метал. чёрн. матовый, тм СветТех;5400
Арт. ПР-ИКР-006 «Норд» прихожая модул. 160х30х210 ЛДСП белый, тм Икар;24700
Арт. КАК-8080-227 кресло акцент. велюр пыльн.роза 80х80, тм Tetchair;15400
Арт. ЛТ-LED-B05 светильник линейн. LED 20Вт 60см белый, тм ЭкономСвет;820
Арт. КОМ-1205-C39 «Афина» комод 5-ящ 120х50х100 массив ясень, тм Mebelain;31800
Арт. ПУФ-5050-141 пуф с ящ. 50х50х42 рогожка серая, тм Tetchair;3700
Арт. КР-1620-C37 «Афина» кровать дв. 160х200 массив ясень белый, тм Mebelain;54200
Арт. ШК-1806-385 «Атлантик» шкаф-купе 3-дв. 180х65х230, тм Mr. Doors;46900
Арт. КОМ-1205-703 «Орхидея» комод 5-ящ 120х45х95 дуб молочн., тм Лером;15800
Арт. МДУЛ-3206-D48 «Скандик» стенка гостин. 3.2 м МДФ белый матов., тм Eltap;62400
Арт. ВН-MST-014 «Лилия» зеркало-шкаф 65х78 LED белый МДФ, тм Lazurt;11900
Арт. ПЛ-ВЛ-E35 плед велюр 180х200 однотонный изумруд, тм Этель;2800
Арт. ОБ-1208-B72 стол обед. круг. d120 массив дуб натур., тм Mebelain;28400
